token,ref_count,aviation_term,prev_error_count,next_error_count,error_reduction,prev_error_rate,next_error_rate,error_rate_reduction
reversers,3,0,3,3,0,1.0,1.0,0.0
1200,2,0,1,1,0,0.5,0.5,0.0
2600,2,0,0,0,0,0.0,0.0,0.0
950,2,0,0,0,0,0.0,0.0,0.0
altimeters,2,0,0,0,0,0.0,0.0,0.0
bit,2,0,0,0,0,0.0,0.0,0.0
final,2,0,1,1,0,0.5,0.5,0.0
fix,2,0,1,1,0,0.5,0.5,0.0
missed,2,0,2,2,0,1.0,1.0,0.0
profile,2,0,0,0,0,0.0,0.0,0.0
speedbreak,2,0,2,2,0,1.0,1.0,0.0
target,2,0,0,0,0,0.0,0.0,0.0
thousand,2,0,2,2,0,1.0,1.0,0.0
waybi,2,0,2,2,0,1.0,1.0,0.0
wrong,2,0,2,2,0,1.0,1.0,0.0
10,1,0,0,0,0,0.0,0.0,0.0
450,1,0,0,0,0,0.0,0.0,0.0
500,1,0,0,0,0,0.0,0.0,0.0
8616,1,0,0,0,0,0.0,0.0,0.0
activating,1,0,0,0,0,0.0,0.0,0.0
again,1,0,0,0,0,0.0,0.0,0.0
all,1,0,1,1,0,1.0,1.0,0.0
autopilot,1,1,1,1,0,1.0,1.0,0.0
bctl2,1,0,1,1,0,1.0,1.0,0.0
bctl3,1,0,1,1,0,1.0,1.0,0.0
bctl4,1,0,1,1,0,1.0,1.0,0.0
circling,1,0,0,0,0,0.0,0.0,0.0
clearence,1,0,1,1,0,1.0,1.0,0.0
comfirm,1,0,1,1,0,1.0,1.0,0.0
different,1,0,0,0,0,0.0,0.0,0.0
directors,1,0,0,0,0,0.0,0.0,0.0
disregard,1,0,0,0,0,0.0,0.0,0.0
during,1,0,0,0,0,0.0,0.0,0.0
flap,1,0,1,1,0,1.0,1.0,0.0
flight,1,0,0,0,0,0.0,0.0,0.0
fly,1,0,0,0,0,0.0,0.0,0.0
good,1,0,1,1,0,1.0,1.0,0.0
join,1,0,0,0,0,0.0,0.0,0.0
later,1,0,0,0,0,0.0,0.0,0.0
like,1,0,0,0,0,0.0,0.0,0.0
m,1,0,0,0,0,0.0,0.0,0.0
may,1,0,1,1,0,1.0,1.0,0.0
mcp,1,0,0,0,0,0.0,0.0,0.0
minus,1,0,1,1,0,1.0,1.0,0.0
next,1,0,0,0,0,0.0,0.0,0.0
not,1,0,0,0,0,0.0,0.0,0.0
obtained,1,1,1,1,0,1.0,1.0,0.0
passing,1,0,0,0,0,0.0,0.0,0.0
pretty,1,0,0,0,0,0.0,0.0,0.0
recycle,1,0,1,1,0,1.0,1.0,0.0
recycled,1,0,0,0,0,0.0,0.0,0.0
recycling,1,0,0,0,0,0.0,0.0,0.0
right,1,0,1,1,0,1.0,1.0,0.0
seven,1,0,1,1,0,1.0,1.0,0.0
sir,1,0,0,0,0,0.0,0.0,0.0
sorry,1,0,0,0,0,0.0,0.0,0.0
stabilize,1,0,0,0,0,0.0,0.0,0.0
stablized,1,0,1,1,0,1.0,1.0,0.0
standby,1,0,0,0,0,0.0,0.0,0.0
strong,1,0,0,0,0,0.0,0.0,0.0
supposed,1,0,0,0,0,0.0,0.0,0.0
that,1,0,0,0,0,0.0,0.0,0.0
this,1,0,0,0,0,0.0,0.0,0.0
two,1,0,0,0,0,0.0,0.0,0.0
visual,1,0,0,0,0,0.0,0.0,0.0
vs700,1,0,1,1,0,1.0,1.0,0.0
was,1,0,0,0,0,0.0,0.0,0.0
with,1,0,0,0,0,0.0,0.0,0.0
would,1,0,0,0,0,0.0,0.0,0.0
yes,1,0,0,0,0,0.0,0.0,0.0
roger,42,1,0,1,-1,0.0,0.023809523809523808,-0.023809523809523808
activated,11,1,1,2,-1,0.09090909090909091,0.18181818181818182,-0.09090909090909091
direct,10,1,1,2,-1,0.1,0.2,-0.1
down,9,0,1,2,-1,0.1111111111111111,0.2222222222222222,-0.1111111111111111
am,8,0,0,1,-1,0.0,0.125,-0.125
gear,8,1,1,2,-1,0.125,0.25,-0.125
obtain,8,1,5,6,-1,0.625,0.75,-0.125
700,7,1,1,2,-1,0.14285714285714285,0.2857142857142857,-0.14285714285714285
activate,5,1,1,2,-1,0.2,0.4,-0.2
available,5,1,0,1,-1,0.0,0.2,-0.2
go,5,0,0,1,-1,0.0,0.2,-0.2
cycling,4,0,0,1,-1,0.0,0.25,-0.25
red,2,0,1,2,-1,0.5,1.0,-0.5
8r,1,0,0,1,-1,0.0,1.0,-1.0
add,1,0,0,1,-1,0.0,1.0,-1.0
cleared,1,0,0,1,-1,0.0,1.0,-1.0
disarm,1,0,0,1,-1,0.0,1.0,-1.0
low,1,0,0,1,-1,0.0,1.0,-1.0
pitch,1,1,0,1,-1,0.0,1.0,-1.0
run,1,0,0,1,-1,0.0,1.0,-1.0
say,1,0,0,1,-1,0.0,1.0,-1.0
confirm,24,0,1,3,-2,0.041666666666666664,0.125,-0.08333333333333334
6000,9,0,0,2,-2,0.0,0.2222222222222222,-0.2222222222222222
fds,7,0,3,5,-2,0.42857142857142855,0.7142857142857143,-0.28571428571428575
1000,5,0,1,3,-2,0.2,0.6,-0.39999999999999997
2,32,1,14,17,-3,0.4375,0.53125,-0.09375
route,21,1,6,9,-3,0.2857142857142857,0.42857142857142855,-0.14285714285714285
