token,ref_count,aviation_term,prev_error_count,next_error_count,error_reduction,prev_error_rate,next_error_rate,error_rate_reduction
bctl3,1,0,0,0,0,0.0,0.0,0.0
bctl4,1,0,0,0,0,0.0,0.0,0.0
circling,1,0,0,0,0,0.0,0.0,0.0
cleared,1,0,0,0,0,0.0,0.0,0.0
clearence,1,0,1,1,0,1.0,1.0,0.0
comfirm,1,0,1,1,0,1.0,1.0,0.0
different,1,0,0,0,0,0.0,0.0,0.0
directors,1,0,0,0,0,0.0,0.0,0.0
disarm,1,0,0,0,0,0.0,0.0,0.0
disregard,1,0,0,0,0,0.0,0.0,0.0
during,1,0,0,0,0,0.0,0.0,0.0
flap,1,0,1,1,0,1.0,1.0,0.0
flight,1,0,0,0,0,0.0,0.0,0.0
fly,1,0,0,0,0,0.0,0.0,0.0
good,1,0,0,0,0,0.0,0.0,0.0
join,1,0,0,0,0,0.0,0.0,0.0
later,1,0,0,0,0,0.0,0.0,0.0
like,1,0,0,0,0,0.0,0.0,0.0
low,1,0,1,1,0,1.0,1.0,0.0
may,1,0,1,1,0,1.0,1.0,0.0
mcp,1,0,0,0,0,0.0,0.0,0.0
minus,1,0,1,1,0,1.0,1.0,0.0
next,1,0,0,0,0,0.0,0.0,0.0
not,1,0,0,0,0,0.0,0.0,0.0
obtained,1,1,1,1,0,1.0,1.0,0.0
passing,1,0,0,0,0,0.0,0.0,0.0
pitch,1,1,1,1,0,1.0,1.0,0.0
pretty,1,0,0,0,0,0.0,0.0,0.0
recycled,1,0,0,0,0,0.0,0.0,0.0
recycling,1,0,0,0,0,0.0,0.0,0.0
right,1,0,1,1,0,1.0,1.0,0.0
run,1,0,0,0,0,0.0,0.0,0.0
say,1,0,0,0,0,0.0,0.0,0.0
seven,1,0,1,1,0,1.0,1.0,0.0
sir,1,0,0,0,0,0.0,0.0,0.0
sorry,1,0,0,0,0,0.0,0.0,0.0
stabilize,1,0,0,0,0,0.0,0.0,0.0
stablized,1,0,1,1,0,1.0,1.0,0.0
standby,1,0,0,0,0,0.0,0.0,0.0
strong,1,0,0,0,0,0.0,0.0,0.0
supposed,1,0,0,0,0,0.0,0.0,0.0
tailwind,1,0,0,0,0,0.0,0.0,0.0
that,1,0,0,0,0,0.0,0.0,0.0
this,1,0,0,0,0,0.0,0.0,0.0
visual,1,0,0,0,0,0.0,0.0,0.0
vs700,1,0,1,1,0,1.0,1.0,0.0
was,1,0,0,0,0,0.0,0.0,0.0
with,1,0,0,0,0,0.0,0.0,0.0
would,1,0,0,0,0,0.0,0.0,0.0
flaps,27,1,1,2,-1,0.037037037037037035,0.07407407407407407,-0.037037037037037035
execute,14,0,0,1,-1,0.0,0.07142857142857142,-0.07142857142857142
and,12,0,1,2,-1,0.08333333333333333,0.16666666666666666,-0.08333333333333333
activated,11,1,0,1,-1,0.0,0.09090909090909091,-0.09090909090909091
ab18r,10,1,4,5,-1,0.4,0.5,-0.09999999999999998
down,9,0,0,1,-1,0.0,0.1111111111111111,-0.1111111111111111
700,7,1,0,1,-1,0.0,0.14285714285714285,-0.14285714285714285
at,7,0,0,1,-1,0.0,0.14285714285714285,-0.14285714285714285
lnav,7,1,4,5,-1,0.5714285714285714,0.7142857142857143,-0.1428571428571429
a,3,0,0,1,-1,0.0,0.3333333333333333,-0.3333333333333333
950,2,0,0,1,-1,0.0,0.5,-0.5
bit,2,0,0,1,-1,0.0,0.5,-0.5
speedbreak,2,0,1,2,-1,0.5,1.0,-0.5
bctl2,1,0,0,1,-1,0.0,1.0,-1.0
two,1,0,0,1,-1,0.0,1.0,-1.0
yes,1,0,0,1,-1,0.0,1.0,-1.0
singapore,17,1,0,3,-3,0.0,0.17647058823529413,-0.17647058823529413
616,16,1,0,3,-3,0.0,0.1875,-0.1875
18r,29,1,2,8,-6,0.06896551724137931,0.27586206896551724,-0.20689655172413793
